product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/red-tape-skinny-men-grey-jeans/p/itm402559e60a9bf?pid=JEAH95DSGPPHBHSK&lid=LSTJEAH95DSGPPHBHSKSKURPW&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN4Xqj5EOjvnOY0aZdlzqqW-J4ylHyZoleeuBRLcqKVg5w%3D%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Skinny Mid Rise Grey Jeans,RED TAPE ,1179,0.83,4.1,495
https://www.flipkart.com/provogue-straight-fit-men-blue-jeans/p/itm305dc3ea10787?pid=JEAH8UFPZJBGECT2&lid=LSTJEAH8UFPZJBGECT2YM2MUQ&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN5vuvqXNbDGPbp6gjNqrEO3r3aMe8VF5GdmnnUwhBIWjA%3D%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Straight Fit Mid Rise Blue Jeans,PROVOGUE ,499,0.8,3.7,701
https://www.flipkart.com/shafin-jogger-fit-men-black-jeans/p/itm83879e22cf42b?pid=JEAH2WAYA3AA3JRX&lid=LSTJEAH2WAYA3AA3JRXNRB1ZC&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAH2WAYA3AA3JRX.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Jogger Fit Mid Rise Black Jeans,Shafin ,483,0.74,3.8,8718
https://www.flipkart.com/pokhinnda-boyfriend-men-black-jeans/p/itmf33731a46bbaf?pid=JEAHE4Z4HMH2XYHZ&lid=LSTJEAHE4Z4HMH2XYHZBISQ8G&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAHE4Z4HMH2XYHZ.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Boyfriend Mid Rise Black Jeans,POKHINNDA ,414,0.68,,
https://www.flipkart.com/urbano-fashion-slim-men-black-jeans/p/itmf3vzvepvpz8by?pid=JEAEP6TYU7HNGRRW&lid=LSTJEAEP6TYU7HNGRRWZJCSOX&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN7kL5vOSYk1O7Zz3fPSshdIItLuuBIuzWhk3I79GgMRJw%3D%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Black Jeans,Urbano Fashion ,499,0.64,3.9,131938
https://www.flipkart.com/wrogn-slim-men-black-jeans/p/itme002ee28c70a7?pid=JEAHCF8KWXAXCPCU&lid=LSTJEAHCF8KWXAXCPCUI8SLZ9&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN4TcHwfgE8MtnQhSK9m-cwHK6SrmM8rzBK4MQpBHCSAcEKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Black Jeans,WROGN ,999,0.5,3.7,9
https://www.flipkart.com/here-now-relaxed-fit-men-black-jeans/p/itmba01573467daf?pid=JEAHE2FBVUDFNMZP&lid=LSTJEAHE2FBVUDFNMZP9HQ6HR&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAHE2FBVUDFNMZP.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Relaxed Fit Mid Rise Black Jeans,HERE&NOW ,645,0.62,,
https://www.flipkart.com/roadster-slim-men-blue-jeans/p/itm233cc59480049?pid=JEAHDMGYGJDFNHFA&lid=LSTJEAHDMGYGJDFNHFAZUBBWE&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAHDMGYGJDFNHFA.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Blue Jeans,Roadster ,1793,0.54,,
https://www.flipkart.com/fcuk-relaxed-fit-men-blue-jeans/p/itm2b15f745a9355?pid=JEAHE2YWQTQQRYVY&lid=LSTJEAHE2YWQTQQRYVYPLTPGS&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAHE2YWQTQQRYVY.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Relaxed Fit Mid Rise Blue Jeans,FCUK ,2280,0.39,,
https://www.flipkart.com/lzard-regular-men-dark-blue-jeans/p/itmdd82030b26cd3?pid=JEAGVVZJRRYHAHHY&lid=LSTJEAGVVZJRRYHAHHY3THKWD&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAGVVZJRRYHAHHY.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Regular Mid Rise Dark Blue Jeans,Lzard ,428,0.81,3.6,22303
